Individual | Alternative | Incentives
    1      |      0      |    0.0    
    2      |      2      | 74.0681051108766
    3      |      2      | 64.97285212221983
    4      |      1      | 1.415162758204417
    5      |      2      | 123.6172448228736
    6      |      4      | 60.57263621911672
    7      |      0      |    0.0    
    8      |      4      | 49.59471048660035
    9      |      2      | 26.912149220981384
    10     |      2      | 14.561647693157822
    11     |      3      | 29.1048338253745
    12     |      1      | 37.400472676196614
    13     |      2      | 25.15515136850664
    14     |      1      | 17.077281225062123
    15     |      3      | 66.8812056432968
    16     |      2      | 13.69603854618656
    17     |      1      | 29.382056562754727
    18     |      1      | 41.52789522133402
    19     |      4      | 65.18812573866165
    20     |      1      | 58.512751536773756
    21     |      4      | 57.67870905060898
    22     |      1      | 39.90036849139641
    23     |      1      | 16.04392019375498
    24     |      2      | 54.52397464157685
    25     |      1      | 12.663006349077921
    26     |      2      | 66.63495611483864
    27     |      0      |    0.0    
    28     |      1      | 46.174299119883926
    29     |      1      | 41.924477883700995
    30     |      2      | 38.980863294644315
    31     |      2      | 53.08187339234901
    32     |      3      | 51.890301480402215
    33     |      2      | 19.657470521779107
    34     |      2      | 21.926647297732465
    35     |      2      | 2.1449589880809317
    36     |      3      | 25.998177114269097
    37     |      0      |    0.0    
    38     |      1      | 31.7316127797251
    39     |      2      | 39.50882107333592
    40     |      6      | 64.53208819979402
    41     |      2      | 15.373511589681044
    42     |      4      | 58.91729687880414
    43     |      2      | 59.6952491738096
    44     |      1      | 68.80414736268305
    45     |      2      | 27.267473685174032
    46     |      2      | 33.69021891932063
    47     |      1      | 2.810427344229282
    48     |      1      | 24.334006267067892
    49     |      4      | 36.29653377994468
    50     |      3      | 42.68421515190342
    51     |      1      | 13.651534098574366
    52     |      3      | 10.253697159879192
    53     |      1      | 32.887671861678605
    54     |      3      | 34.84515650455202
    55     |      0      |    0.0    
    56     |      1      | 31.502287642774423
    57     |      1      | 13.784850611765837
    58     |      2      | 49.51229042917617
    59     |      4      | 48.25194075589715
    60     |      3      | 59.61381236062529
    61     |      2      | 32.782281070061906
    62     |      0      |    0.0    
    63     |      3      | 15.292186762426985
    64     |      1      | 72.8123058230011
    65     |      2      | 26.523908013018954
    66     |      5      | 32.63077675774173
    67     |      4      | 29.419095004692455
    68     |      1      | 15.524546327433342
    69     |      1      | 1.7542247175325514
    70     |      2      | 42.36524277660889
    71     |      2      | 40.80154053325848
    72     |      3      | 40.52108181106112
    73     |      2      | 48.74826562149693
    74     |      0      |    0.0    
    75     |      1      | 34.2692997279519
    76     |      1      | 104.22279317762622
    77     |      1      | 8.01233005834549
    78     |      4      | 31.21993800074191
    79     |      1      | 0.24771612789941955
    80     |      1      | 27.125804423499055
    81     |      3      | 38.72909472287027
    82     |      0      |    0.0    
    83     |      2      | 24.677256279783112
    84     |      2      | 13.888508665234918
    85     |      4      | 12.991227233509218
    86     |      4      | 55.72325632240365
    87     |      1      | 22.00618479643439
    88     |      3      | 40.903981686588466
    89     |      2      | 35.54601710118861
    90     |      4      | 44.79771441192405
    91     |      1      | 23.022316941374292
    92     |      2      | 67.59462861420226
    93     |      2      | 32.45742907252167
    94     |      1      | 18.696091087462047
    95     |      3      | 46.621288619313404
    96     |      5      | 22.949452886902613
    97     |      2      | 19.94145510346349
    98     |      3      | 23.501118163911244
    99     |      2      | 21.350980977746893
   100     |      0      |    0.0    
